2025-01-31 03:50:15.540 [info] Reading sessions from keychain...
2025-01-31 03:50:15.540 [info] Getting sessions for all scopes...
2025-01-31 03:50:15.540 [info] Getting sessions for all scopes...
2025-01-31 03:50:15.540 [info] Getting sessions for all scopes...
2025-01-31 03:50:15.540 [info] Getting sessions for all scopes...
2025-01-31 03:50:15.540 [info] Getting sessions for all scopes...
2025-01-31 03:50:15.540 [info] Getting sessions for all scopes...
2025-01-31 03:50:15.540 [info] Getting sessions for all scopes...
2025-01-31 03:50:15.540 [info] Got 0 sessions for ...
2025-01-31 03:50:15.540 [info] Got 0 sessions for ...
2025-01-31 03:50:15.540 [info] Got 0 sessions for ...
2025-01-31 03:50:15.540 [info] Got 0 sessions for ...
2025-01-31 03:50:15.540 [info] Got 0 sessions for ...
2025-01-31 03:50:15.540 [info] Got 0 sessions for ...
2025-01-31 03:50:15.540 [info] Got 0 sessions for ...
2025-01-31 03:50:15.767 [info] Getting sessions for all scopes...
2025-01-31 03:50:15.767 [info] Got 0 sessions for ...
2025-01-31 03:50:16.758 [info] Getting sessions for all scopes...
2025-01-31 03:50:16.758 [info] Got 0 sessions for ...
2025-01-31 03:50:16.850 [info] Getting sessions for read:user,repo,user:email...
2025-01-31 03:50:16.850 [info] Got 0 sessions for read:user,repo,user:email...
